Bitcoin,BTC,1,0.157798535,13720
Ripple,XRP,3719,0.098008687,2.29134
Ethereum,ETH,10,0.085650905,744.703
Bitcoin Cash,BCH,2,0.056643923,2462.49
Cardano,ADA,5483,0.044488284,0.70547
Litecoin,LTC,14,0.035997066,223.558
IOTA,MIOTA,801,0.03263981,3.54296
NEM,XEM,2621,0.032311263,1.07186
Dash,DASH,2,0.023508071,1021.97
Stellar,XLM,5991,0.028040655,0.406949
Monero,XMR,6,0.023461031,339.975
EOS,EOS,235,0.02306679,8.53435
NEO,NEO,27,0.023422742,75.4267
Qtum,QTUM,32,0.022249833,60.4544
Bitcoin Gold,BTG,7,0.020663235,256.656
TRON,TRX,33498,0.018463248,0.0479226
RaiBlocks,XRB,69,0.018109004,22.819
Verge,XVG,7648,0.017732239,0.201589
Ethereum Classic,ETC,53,0.017619972,28.9055
BitConnect,BCC,4,0.018812116,408.911
Lisk,LSK,69,0.015737033,19.8301
ICON,ICX,242,0.014622737,5.25369
OmiseGO,OMG,66,0.014520541,19.1289
BitShares,BTS,1747,0.014034381,0.698476
Ardor,ARDR,700,0.013422617,1.66721
Populous,PPT,27,0.012467356,40.1478
Zcash,ZEC,2,0.011301687,491.32
Stratis,STRAT,77,0.012127373,13.6939
Hshare,HSR,34,0.01163956,29.7652
Waves,WAVES,82,0.011601489,12.3013
Bytecoin,BCN,162398,0.01061506,0.0056832
Komodo,KMD,95,0.010378505,9.49866
Dogecoin,DOGE,102987,0.010283099,0.00868146
Siacoin,SC,29524,0.010003136,0.0294586
Status,SNT,3329,0.00980659,0.256127
Binance Coin,BNB,98,0.009477955,8.40891
Augur,REP,12,0.009273475,67.1912
